query	345	数论
query	401	阿尔巴尼亚
query	595	人口密度
query	752	4月1日
query	2546	“三个代表”重要思想
query	2625	7月19日
query	2818	田纳西·威廉斯
query	2884	艾青
query	3343	蓝胡子公爵的城堡
query	3788	雷锋
query	4023	8月26日
query	4150	儒家
query	4334	葛洪
query	4485	爆竹
query	4778	牛街礼拜寺
query	5157	氮
query	5755	肯尼迪航天中心
query	6356	黑海
query	6398	10月31日
query	6500	胡適
query	7486	克里斯托弗·哥伦布
query	7757	11月30日
query	7988	愛德蒙多·德·亞米契斯
query	7997	联合国安全理事会
query	9075	前16年
query	9501	大萧条
query	9563	崇基學院
query	9688	Tetsuya
query	9972	密度
query	9992	東條英機
query	10120	12月30日
query	10159	亚历山大一世 (俄国)
query	10744	鳥山明
query	11152	MAN
query	12161	凯撒电影奖
query	12271	授时历
query	12470	尼尔·基诺克
query	12587	直立人
query	12939	106年
query	13008	147年
query	13022	159年
query	13044	181年
query	13166	283年
query	13175	292年
query	13189	304年
query	13190	305年
query	13220	333年
query	13222	335年
query	13238	349年
query	13256	365年
query	13946	518年
query	13948	520年
query	14022	590年
query	14268	742年
query	14285	760年
query	14393	868年
query	14413	888年
query	14429	904年
query	14560	1034年
query	14608	1083年
query	14680	1158年
query	14769	1249年
query	14812	1291年
query	14882	1359年
query	14974	1455年
query	15048	1524年
query	15164	1640年
query	15184	1660年
query	17402	实数
query	17559	说文解字
query	17654	信息技术
query	17825	電腦檔案
query	18434	国际信息学奥林匹克竞赛
query	18684	草海
query	18858	盘古
query	18870	吠陀宗教
query	20251	鼻烟壶
query	20335	夏雨
query	20565	小熊維尼
query	20602	费雯·丽
query	20635	蒙蒂·琼斯
query	20791	戛纳电影节
query	21024	水力帝国
query	21059	澎湖 (消歧义)
query	21511	希腊神话
query	21562	材料力学
query	21674	编码
query	22146	元搜索引擎
query	22730	道藏
query	23449	72
query	24197	葛丽泰·嘉宝
query	24272	出版学
query	24416	伍乔
query	24927	鸠鸽科
query	24937	仓鸮
query	24995	5月16日
query	25170	彼得·杰克逊
query	25295	周慧敏
query	25306	张学友
query	25413	東方魅力
query	26011	分钟
query	26092	渔家傲
query	26243	孟加拉国
query	26255	牛津大学
query	26477	光速
query	26590	近視
query	27038	內科學
query	27985	努尔苏丹·纳扎尔巴耶夫
query	30960	剑经
query	30968	卸骨术
query	31112	金星凌日
query	31145	网景导航者
query	31217	1958年
query	31290	爱尔兰岛
query	31518	爆肚
query	31734	九份
query	32873	胭脂扣
query	33507	第二次中东战争
query	33763	绵阳市
query	33772	新世界第一巴士
query	35016	日本料理
query	35604	伊比利亚半岛
query	35624	庞贝
query	35912	标准排水量
query	37202	中央公論新社
query	37260	伍冰枝
query	37398	女真
query	37423	盐湖城
query	37424	普若佛
query	37766	法系
query	37775	BT
query	37888	忌廉蘑菇湯
query	37899	前656年
query	38379	黎锦熙
query	38410	积分
query	38858	哈尔·斯帕克斯
query	38942	道路
query	40129	臭豆腐
query	40325	前483年
query	40595	柏林洪堡大學
query	40762	國際純化學和應用化學聯合會
query	40946	熱狗
query	41286	继体天皇
query	41333	猫儿历险记
query	41711	2004年夏季奥运会中国皮划艇队
query	42376	凌力
query	42471	城市軌道交通
query	43078	大O符号
query	43409	布吉納法索
query	43415	黑劳士
query	44270	1-丙醇
query	44394	元惠宗
query	44866	A4
query	45042	肉垂鹤
query	45054	道卡斯族
query	45433	五大湖
query	45693	南瓜
query	45926	卡米耶·畢沙羅
query	46132	遊戲牌
query	46426	佛罗里达州
query	46508	前295年
query	46604	壬申
query	46706	國立臺北科技大學
query	46776	粉佳人
query	46780	约翰尼·凯利 (马拉松运动员)
query	47257	1030年代
query	47276	850年代
query	47335	300年代
query	47724	F-14雄貓式戰鬥機
query	48133	企业
query	48187	克利奥帕特拉一世
query	48461	数
query	48805	前83年
query	50094	翁山蘇姬
query	50098	檔案
query	50469	張秋生
query	50975	臺灣清治時期
query	51542	契丹人
query	51657	超級機器人大戰系列
query	51844	基金
query	52140	前170年
query	52160	前191年
query	52446	航空工程
query	52950	赛斯
query	53417	黑格尔哲学的批判
query	54257	新垣里沙
query	54278	美国国会
query	54806	青年漫画
query	55762	1960年夏季殘疾人奧林匹克運動會
query	55999	红黑树
query	56215	季羡林
query	56842	江苏省立教育学院
query	57265	圣菲 (新墨西哥州)
query	57353	中国人民解放军东部战区总医院
query	57518	灌篮高手
query	57653	聖約翰科技大學
query	57842	戴奧辛
query	58115	烏克蘭共產黨
query	58359	格林兄弟
query	58489	雷鸟属
query	58576	马萨达
query	58800	中药学
query	63998	教研室
query	64143	好太王碑
query	65055	外部数据表示法
query	65203	斗南鎮
query	65303	时
query	65304	爱德华·蒙克
query	65586	王政复古
query	67066	微处理器
query	67397	爱德华·卢卡斯
query	67472	毛利元就
query	67611	需求的价格弹性
query	67803	PageRank
query	67844	獅子山 (香港)
query	68801	紅牛
query	68879	半乳糖
